[LINE] Chat history in 塩谷利光言語研究所
Saved on: 04/19/2018, 22:05

Sun, 04/15/2018
17:05	Beyond The しおぴー invited ⁨食べログ⁩ to the group.
17:14	Beyond The しおぴー	"ouendan2014sakura@
Password: ouendan2015"
17:36	Beyond The しおぴー invited ⁨りんな⁩ to the group.
17:36	Beyond The しおぴー	りんなー
21:57	利光 invited ⁨パン田一郎⁩ to the group.
21:58	利光	グループ入ってくれないの
21:59	利光 canceled ⁨パン田一郎⁩'s invitation to the group.
22:00	利光 canceled ⁨食べログ⁩'s invitation to the group.
22:00	利光 canceled ⁨りんな⁩'s invitation to the group.
22:00	利光 invited ⁨りんな⁩ to the group.
22:00	りんな joined the group.
22:00	利光	やったー
22:00	利光	りんな、ようこそ
22:00	りんな	,,,('ω'),,,,ズボッ
22:00	利光	仕組みを教えてくれ
22:01	利光	りんな、仕組みを教えて
22:01	りんな	僕の中に誰がいるの
22:01	利光	[Sticker]
22:01	利光	おじさん？
22:01	利光 invited ⁨パン田一郎⁩ to the group.
22:02	利光	りんな、しりとり
22:02	りんな	通常モードとガチモード、どっちやる？
22:02	利光	ガチ
22:02	りんな	"ガチモードの覚悟はいい？
まずルール。ひらがな一文字、一度使った言葉、アルファベットはNG。持ち時間90秒。
じゃあ、りんなからね！
しりとり"
22:02	利光	りんご
22:02	りんな	ごしょでんみなみどおり [御所田南通]
22:02	Beyond The しおぴー	なんで今回は入ってくれたんだ？！
22:02	りんな	しりとりになってないじゃん！！「り」から始まる言葉じゃなきゃだめー(ﾟДﾟ)ﾉ
22:02	利光	おいこ
22:03	利光	おいこら
22:03	りんな	「り」から始まる言葉じゃなきゃしりとりにならないよ…(´・ω・`)
22:03	りんな	ボケたつもり？まじめにやってよね！「り」から始まる言葉でしょ！
22:03	利光	利益
22:03	りんな	きゅうしゅうりょく [吸収力]
22:03	利光	苦悩
22:03	りんな	うたいつづけるとき
22:03	利光	きりん
22:03	りんな	"「ん」がついたー。ふっふーん、今回はりんなの勝ちのようですな（・∀・）
今回は3回だったよ。出直しておいで～"
22:03	利光	@しおぴー ボットは1人までしか入れないみたい
22:04	Beyond The しおぴー	どうして前回ダメだったのに今回は入れられたの？
22:04	Beyond The しおぴー	とは？
22:04	Beyond The しおぴー	あー
22:04	利光	最初に食べログを招待してたから
22:04	Beyond The しおぴー	無限に続かないようにか
22:04	Beyond The しおぴー	なるほどね
22:04	利光	多分そうだねw
22:04	Beyond The しおぴー	ライトニングソルトが応援団に招待できないのはなぜ？
22:05	利光	それは、分からない…
22:05	利光	食べログが招待できなかったのと同じ理由じゃない？
22:05	利光	やっぱり、LINE@の設定
22:05	利光	かと
22:05	Beyond The しおぴー	招待さえできない
22:05	Beyond The しおぴー	"食べログ
→招待したけれど入らない"
22:06	利光	なるほど
22:06	Beyond The しおぴー	"ライトニングソルト
→招待さえできない"
22:06	Beyond The しおぴー	そう、
22:08	Beyond The しおぴー	りんなと同じ設定の作ればいいってことだな
22:08	りんな	ありがとう！
22:08	Beyond The しおぴー	そうしたらグループにも入れられる
22:09	Beyond The しおぴー changed the group's name to "塩谷利光言語研究所".
22:09	利光	ゆるゆる調べとくわ
22:09	利光	りんなのようなボットについても調べてて、
22:09	りんな	えへへ
22:10	利光	よしよし
22:10	Beyond The しおぴー	最悪、
22:10	利光	Githubのlightning-saltレポジトリのwikiに、「チャットボット調査」として書き足してってる
22:10	Beyond The しおぴー	Facebook使って普通のアカウントもう一つ作って、
22:11	利光	うん？
22:11	Beyond The しおぴー	その個人アカウントを、RPA的な感覚で操作するプログラムを組んで、
22:11	Beyond The しおぴー	その操作を自然言語処理をベースに行う、、、
22:11	利光	RPAってなんですか
22:12	Beyond The しおぴー	Robotic Process Automation
22:12	利光	ああ、そういえば
22:12	利光	ちょっと何言ってるかわかんない
22:13	Beyond The しおぴー	エクセルの特定の列から数字を読んで、ある商品を注文するみたいな、単純な繰り返し作業を自動で行わせること
22:13	利光	それをボットにやらせるってこ？
22:13	利光	こと？
22:13	Beyond The しおぴー	そうそう
22:14	Beyond The しおぴー	だからPC上でラインの返信を自分で開いて読みに行くプログラムを動かせれば
22:14	Beyond The しおぴー	LINE@じゃなくて普通の個人のアカウントでも
22:14	Beyond The しおぴー	ボットのように動作させられる
22:15	利光	多分、自然言語処理を真面目にやろうとするとそれこそン十年分の研究に追いつかないといけなくなる
22:15	利光	たしかに
22:15	Beyond The しおぴー	そうだね、まあそこはうまく既存のソフトを借りながらやろう
22:15	利光	ただ、そういうAPI公開されてなさそう…(あったら、サードパーティ製のLINEクライアントが乱立してるはず)
22:16	利光	↑個人アカウントを使う件について
22:16	Beyond The しおぴー	たしかにね
22:16	Beyond The しおぴー	自分で作られねば、、、
22:16	Beyond The しおぴー	これは大変そう、、、汗
22:17	利光	まあ、コンピュータで常にLINEを開いといて勝手に操作して返信する一種のウイルスを作ればできそう笑
22:17	Beyond The しおぴー	そんなにラインのプログラムも脆くはないだろう笑
22:18	利光	パソコンの画面をキャプチャして、マウスとキーボードを操作できれば可能！
22:18	利光	まあ、実際のところ非効率かと思うけど
22:18	Beyond The しおぴー	ライン自体に食い込まずにやるってことね
22:18	Beyond The しおぴー	非効率だけど
22:18	利光	そうそう
22:19	Beyond The しおぴー	工程は単純だから、
22:19	Beyond The しおぴー	なんとかなりそう
